id,order_id,payment_date,amount_paid,payment_method,billing_address,shipping_address,total,down_payment
1,172,2010-10-20 0:00:00,10,Credit,101 west green street,101 west green street,10,0
2,172,2010-10-20 0:00:00,10,Credit,101 west green street,101 west green street,10,0
3,173,2010-11-20 0:00:00,12,Credit,101 west green street,101 west green street,12,0
4,173,2010-11-20 0:00:00,12,Credit,101 west green street,101 west green street,12,0
5,174,2010-11-20 0:00:00,13,Credit,101 west green street,101 west green street,13,0
6,174,2010-11-20 0:00:00,13,Credit,101 west green street,101 west green street,13,0
7,175,2010-12-20 0:00:00,14,Credit,101 west green street,101 west green street,14,0
8,175,2010-12-20 0:00:00,14,Credit,101 west green street,101 west green street,14,0
9,176,2010-12-20 0:00:00,15,Credit,101 west green street,101 west green street,15,0
10,176,2010-12-20 0:00:00,15,Credit,101 west green street,101 west green street,15,0
