id,first_name,last_name,email,UIN,category,college
16000324,Hiram,Flowers,Sed.diam.lorem@vulputatemaurissagittis.com,76513450299,Staff,LAS
16010307,Jocelyn,Kane,risus@sitametante.org,30379913699,Faculty,DGS
16011013,Thaddeus,Hobbs,orci.in@cursuspurusNullam.ca,92323320899,Student,ENG
16020317,Felicia,Holcomb,amet.massa@eratSed.com,73408138199,Staff,BUS
16021121,Courtney,Evans,nonummy@augue.co.uk,22552734399,Staff,BUS
16031201,Zenaida,Chapman,eget@nonegestasa.edu,76806132899,Other,
16061214,Tanek,Miller,hendrerit@vitaesodalesnisi.co.uk,31408965599,Faculty,BUS
16070904,Thomas,Carson,sapien.Nunc.pulvinar@ipsumSuspendisse.co.uk,31686867299,Student,LAS
16080115,Kamal,Eaton,imperdiet.nec.leo@intempus.edu,27764425699,Donor,BUS
16080218,Driscoll,Roy,in.cursus.et@sociisnatoque.org,27562202799,Employee,BUS
16081216,Brittany,Stout,ultricies.ornare@dis.org,78312635299,Other,NULL
16090113,Price,Mercado,tincidunt.nibh@Phaselluslibero.edu,15539452599,Faculty,BUS
16101208,Zeph,Mckinney,non@tristiquepellentesque.ca,73754880099,Other,NULL
16140511,Yoshi,Snider,rutrum.Fusce.dolor@egestasAliquamfringilla.co,45320796599,Staff,BUS
16160704,Adele,Tillman,molestie@Proinvel.net,58939619499,Faculty,BUS
16160809,Xandra,Albert,ipsum@nonvestibulumnec.org,72694031399,Donor,BUS
16170413,Wade,Arnold,dis.parturient.montes@magnaDuisdignissim.ca,33676060899,Student,BUS
16170516,Brenna,Moran,sed.hendrerit.a@maurisrhoncus.co.uk,83338183299,Other,NULL
16190921,Yoshi,Chase,egestas@euodiotristique.net,50995122499,Student,LAS
16201223,Christine,Perkins,libero.dui@lectus.net,88542505399,Student,DGS
16211129,Stephanie,Colon,magna.nec@tortor.co.uk,88517720399,Other,NULL
16220104,Rafael,Logan,lectus.Cum.sociis@Nunc.co.uk,31563714499,Faculty,ENG
16220715,Doris,Decker,auctor@non.net,28470221699,Other,NULL
16220818,Timon,Taylor,quis.urna.Nunc@nullaIntegervulputate.co.uk,44652664699,Donor,ENG
16360907,Leo,Reeves,Nunc.quis.arcu@ettristiquepellentesque.edu,72767700499,Employee,ENG
16371209,Hiram,Watson,urna@pretiumaliquet.ca,02371099599,Student,ENG
16371211,Fulton,Walsh,lobortis@tellusAeneanegestas.co.uk,96489053099,Employee,BUS
16380224,Kermit,Austin,Aliquam.tincidunt@blanditcongue.edu,95447466599,Donor,NULL
16390508,Jolene,Rasmussen,et.magnis.dis@eget.net,23487008999,Staff,NULL
16390623,Eagan,Riggs,Cras@dui.com,96822311199,Other,NULL
16390808,Autumn,Flynn,eget.varius.ultrices@loremlorem.org,18212627899,Staff,NULL
16390908,Colby,Silva,sit@placeratorcilacus.edu,01692001899,Faculty,BUS
16401024,Kevyn,Hensley,Cum.sociis@CuraeDonectincidunt.org,38956769999,Other,
16411024,Rose,Blake,faucibus.orci.luctus@lacus.org,56453511599,Faculty,DGS
16420926,Nerea,Kennedy,ut.quam.vel@Etiam.co.uk,01360907199,Other,NULL
16421106,Merrill,King,erat.Sed.nunc@Fuscemilorem.com,38294608299,Other,NULL
16431201,Brent,Guerra,elit.fermentum.risus@pharetraNamac.org,46501108899,Staff,BUS
16440524,TaShya,Baird,nibh.dolor.nonummy@venenatis.org,96278919099,Student,BUS
16440814,Brenda,Cox,imperdiet@urnaNunc.net,61979533299,Student,BUS
16450413,Cruz,Vaughan,et.malesuada.fames@loremac.ca,75998938199,Donor,BUS
16451228,Brody,Whitney,cursus@vellectusCum.co.uk,75259382299,Student,BUS
16460105,Carl,Stark,dignissim.pharetra@eratsemperrutrum.edu,84788033399,Student,BUS
16470108,Callum,Snider,nec@luctusfelispurus.net,88295670699,Staff,NULL
16470120,Lee,Medina,in@insodaleselit.ca,99887001599,Staff,NULL
16470418,Kasper,Barton,vehicula.Pellentesque@vulputate.org,07531021799,Other,NULL
16480120,Lara,Cherry,vestibulum.Mauris.magna@mattis.ca,14874329799,Student,ENG
16480914,Kuame,Black,Sed.dictum.Proin@dolor.ca,41439037499,Faculty,EDU
16480929,Gavin,Beach,et.commodo.at@ipsumSuspendissenon.com,31530795499,Donor,NULL
16490201,Cyrus,Lane,vel@nibhlaciniaorci.ca,04661373399,Staff,NULL
16500804,Montana,Medina,dictum.eu.eleifend@iaculisodio.org,58461622899,Student,EDY
16510404,Kerry,Boyle,lorem.vehicula@Utnecurna.ca,26746815099,Staff,NULL
16510912,Lucy,Hayes,Vestibulum@duinectempus.com,53861978199,Other,NULL
16511220,Madonna,Collins,Morbi.accumsan@nascetur.com,74214452799,Staff,NULL
16530124,John,Foster,lorem.lorem@Morbi.net,88933438199,Donor,NULL
16530914,Elizabeth,Dominguez,consequat.nec.mollis@aliquetnecimperdiet.co.u,95212459399,Faculty,NULL
16541020,Dieter,Spencer,enim.condimentum@variuset.edu,78847575999,Employee,NULL
16541217,Remedios,Lucas,pede.ac@milacinia.net,05227853399,Faculty,NULL
16560407,Lester,Oliver,Duis.elementum.dui@erategetipsum.co.uk,88535540999,Other,NULL
